run_id,nodes_expanded,planning_time,raw_waypoints,raw_path_length,smooth_waypoints,smooth_path_length,improvement_percent,ee_travel_distance,max_joint_jump
1,0,204.21707940101624,16,6.916782828165193,4,3.3687116876495726,51.296552583201645,2.126981731080378,1.3826754516895021
2,0,183.3256332874298,21,9.081593962698046,4,5.280946736862613,41.85000167862933,1.7315715270784258,2.0084285694452966
3,0,196.99735403060913,18,8.135132725112813,5,4.237605017561087,47.90982322292323,1.7584094732474815,1.8110812949377566
4,0,194.10135102272034,16,7.0282931742092005,4,4.460159837214579,36.539929017454206,1.4992697115547373,1.9017033522358944
5,0,194.79163074493408,20,8.11747451655983,4,3.0062669290820003,62.96548978442558,1.5248646298672945,1.0983513449412705
6,0,211.45512986183167,22,9.11915824582248,5,4.72800723396174,48.15303006582151,1.5937747387021384,1.826304515071195
7,0,190.26337313652039,22,9.039096131268053,5,5.319357570839637,41.15166501616342,1.8012773502011208,1.8365227525661856
8,0,179.10327911376953,21,8.890893544387987,5,4.354214938059319,51.02612671807617,2.242081607774304,1.5670386904162799
9,0,183.6898069381714,22,9.70171857650135,5,3.1739446436084826,67.28471745927436,1.5555056401134444,1.2948772699674447
10,0,191.52967405319214,20,8.399350066891992,5,4.719707313256489,43.80866048362096,1.2985020382593353,1.5556506258383052
11,0,199.21238923072815,25,10.538547711792171,5,5.042893200973677,52.14812003620858,2.020874368429938,1.687783967786974
12,0,212.00489616394043,14,6.100036240305834,5,4.039705288550346,33.775716579221346,1.1812580345124437,1.5897567947755562
13,0,179.66249632835388,28,13.184686296251733,4,4.066573585028809,69.15684231194115,1.413916100806937,1.7608269087666149
14,0,202.84796571731567,25,11.3201862799997,4,6.655733134966347,41.204738417374145,3.6218491813391887,2.9138693337460295
15,0,183.1157989501953,17,7.178455325601696,5,4.675694791697846,34.86488973439519,2.031912739401172,1.5204577596679476
16,0,213.94690108299255,22,9.673205121277588,5,4.8551371209738,49.80839277051785,2.0924614782905526,1.8401249136803388
17,0,369.8203561306,11,3.421183787932519,5,2.2425749460376303,34.45032231393632,1.1157455744256488,0.7220490685543117
18,0,204.12655639648438,13,5.596103605214071,4,3.4549875609177487,38.260836384468924,1.2368332829144808,1.5530873159352634
19,0,179.39802861213684,23,9.96614783147609,4,4.831099718316325,51.52490410529271,2.5618816694238165,1.672414649746134
20,0,197.3495066165924,16,6.889011132291303,4,3.553619506182613,48.41611607324157,1.5831719791014618,1.691107546097742
AVG,0.0,203.54796034097672,19.6,8.414852855187982,4.55,4.303347038087033,47.279843737809415,1.7996071428262153,1.6617056062933024
